movie_title,url,rating,rating_count,genre,content_rating
Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2273953,"Crime, Drama, Thriller",TV-MA
Planet Earth II,https://www.imdb.com/title/tt5491994/,9.4,164832,Documentary,TV-G
Planet Earth,https://www.imdb.com/title/tt0795176/,9.4,225855,"Documentary, Family",TV-PG
Band of Brothers,https://www.imdb.com/title/tt0185906/,9.4,552827,"Action, Drama, History",TV-MA
Chernobyl,https://www.imdb.com/title/tt7366338/,9.3,926077,"Drama, History, Thriller",TV-MA
The Wire,https://www.imdb.com/title/tt0306414/,9.3,396646,"Crime, Drama, Thriller",TV-MA
Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/,9.3,396803,"Animation, Action, Adventure",TV-Y7-FV
Blue Planet II,https://www.imdb.com/title/tt6769208/,9.3,50809,Documentary,TV-G
The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,510121,"Crime, Drama",TV-MA
Cosmos: A Spacetime Odyssey,https://www.imdb.com/title/tt2395695/,9.2,133183,Documentary,TV-PG
Cosmos,https://www.imdb.com/title/tt0081846/,9.3,47343,Documentary,TV-PG
Our Planet,https://www.imdb.com/title/tt9253866/,9.2,55614,Documentary,TV-PG
Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2394809,"Action, Adventure, Drama",TV-MA
Bluey,https://www.imdb.com/title/tt7678620/,9.3,36183,"Animation, Family",TV-Y
The World at War,https://www.imdb.com/title/tt0071075/,9.2,32559,"Documentary, History, War",TV-PG
Hagane no renkinjutsushi,https://www.imdb.com/title/tt1355642/,9.1,214036,"Animation, Action, Adventure",TV-14
Rick and Morty,https://www.imdb.com/title/tt2861424/,9.1,636212,"Animation, Adventure, Comedy",TV-MA
Life,https://www.imdb.com/title/tt1533395/,9.1,45191,Documentary,TV-G
The Last Dance,https://www.imdb.com/title/tt8420184/,9.0,163009,"Documentary, Biography, History",TV-MA
The Twilight Zone,https://www.imdb.com/title/tt0052520/,9.0,99152,"Drama, Fantasy, Horror",TV-PG
The Vietnam War,https://www.imdb.com/title/tt1877514/,9.1,30786,"Documentary, History, War",TV-MA
Sherlock,https://www.imdb.com/title/tt1475582/,9.1,1034925,"Crime, Drama, Mystery",TV-14
Shingeki no Kyojin,https://www.imdb.com/title/tt2560140/,9.1,581103,"Animation, Action, Adventure",TV-MA
Batman: The Animated Series,https://www.imdb.com/title/tt0103359/,9.0,124771,"Animation, Action, Adventure",TV-PG
Arcane,https://www.imdb.com/title/tt11126994/,9.0,373708,"Animation, Action, Adventure",TV-14
Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,707417,"Crime, Drama",TV-MA
The Office,https://www.imdb.com/title/tt0386676/,9.0,758894,Comedy,TV-14
The Blue Planet,https://www.imdb.com/title/tt0296310/,9.0,45206,Documentary,TV-G
Clarkson&apos;s Farm,https://www.imdb.com/title/tt10541088/,9.0,69341,"Documentary, Comedy, Reality-TV",TV-PG
Scam 1992: The Harshad Mehta Story,https://www.imdb.com/title/tt12392504/,9.2,163538,"Biography, Crime, Drama",TV-14
Human Planet,https://www.imdb.com/title/tt1806234/,9.0,29627,Documentary,TV-PG
Frozen Planet,https://www.imdb.com/title/tt2092588/,9.0,35262,Documentary,TV-PG
Hunter x Hunter,https://www.imdb.com/title/tt2098220/,9.0,155368,"Animation, Action, Adventure",TV-14
Firefly,https://www.imdb.com/title/tt0303461/,8.9,288596,"Adventure, Drama, Sci-Fi",TV-14
Only Fools and Horses,https://www.imdb.com/title/tt0081912/,9.0,60000,Comedy,TV-PG
The Civil War,https://www.imdb.com/title/tt0098769/,9.0,20899,"Documentary, History, War",TV-14
Death Note: Desu nôto,https://www.imdb.com/title/tt0877057/,8.9,410643,"Animation, Crime, Drama",TV-14
Gravity Falls,https://www.imdb.com/title/tt1865718/,8.9,151254,"Animation, Adventure, Comedy",TV-Y7
Seinfeld,https://www.imdb.com/title/tt0098904/,8.9,364718,Comedy,TV-PG
Dekalog,https://www.imdb.com/title/tt0092337/,8.9,30270,Drama,TV-MA
The Beatles: Get Back,https://www.imdb.com/title/tt9735318/,8.9,31481,"Documentary, Biography, Music",PG-13
